name,export_name,helptext,overtime,max_length,min_length,beyond_fixed_hours_overtime,beyond_fixed_hours,roster_overtime,roster_overtime_hours,split_shifts,split_shift_hours,shift_gap,shift_gap_all_hours,max_application_length,applies_after_penalties,applies_after_weekday_hours_worked,hourly_rate,multiplier,salary,yearly_salary,unpaid,accrual,base_rate_addition,base_rate_percentage,ordinary_hours,leave_enabled,xero_post_automatically,auto_create_leave_requests,micropay_exporter_id,micropay_pay_class,team_export_mask,archived,everyone,tags,shift_tags,not_shift_tags,probation,always,public_holidays,days,times,start_times,end_times,after_date,before_date,only_time_worked,all_if_major_portion,all_if_commenced,max_age,min_age,secondary_export_name,award_template_organisation_id,created_by_template
1.1.01 FT - Ordinary Hours - Driver,Driver x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,,,FALSE,FALSE,Full Time - Driver,,,0,FALSE,FALSE,"0,6",,,,,,TRUE,FALSE,FALSE,0,0,,,FALSE
1.1.01 FT - Ordinary Hours - Driver,Driver x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,,,FALSE,FALSE,Full Time - Driver,,,0,FALSE,FALSE,"1,2,3,4,5",,,,,,TRUE,FALSE,FALSE,0,0,,,FALSE
1.1.01 FT - Ordinary Hours - Instore,Instore x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,,,FALSE,FALSE,Full Time - Instore,,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,0,0,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (15y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,9.72,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9115,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,15,13,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (16y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,9.72,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9116,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,16,16,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (17y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,11.67,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9117,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,17,17,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (18y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,13.61,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9118,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,18,18,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (19y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,15.55,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9119,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,19,19,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (20y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,19.44,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9120,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,20,20,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 1 (21y+),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,19.44,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9121,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,99,21,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (15y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,9.72,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9215,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,15,13,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (16y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,9.72,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9216,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,16,16,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (17y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,11.67,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9217,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,17,17,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (18y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,13.61,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9218,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,18,18,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (19y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,15.55,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9219,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,19,19,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (20y),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,19.44,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9220,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,20,20,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 2 (21y+),In Store x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,19.44,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9221,,FALSE,FALSE,Full Time - Driver,In Store,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,99,21,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (15y),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,10.59,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9315,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,15,13,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (16y),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,10.59,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9316,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,16,16,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (17y),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,12.71,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9317,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,17,17,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (18y),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,14.83,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9318,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,18,18,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (19y),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,16.95,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9319,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,19,19,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (20y),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,21.18,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9320,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,20,20,,,FALSE
1.1.01 FT - Ordinary Hours - Instore Lvl 3 (21y+),Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,21.18,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,9321,,FALSE,FALSE,"Full Time - Driver,Full Time - Instore",Shift Runner,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,99,21,,,FALSE
1.1.01 FT - Ordinary Hours - Shift Runner,Shift Runner x 1,,0,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,0,1,0,0,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,TH,,,FALSE,FALSE,Full Time - Shift Runner,,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,0,0,,,FALSE
1.1.02 FT - 38+ Hours Worked in Week - First 2 Hours - Driver,Driver x 1.5,,38,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,0,1.5,0,0,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TH,,,FALSE,FALSE,Full Time - Driver,,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,0,0,,,FALSE
1.1.02 FT - 38+ Hours Worked in Week - First 2 Hours - Instore,Instore x 1.5,,38,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,0,1.5,0,0,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TH,,,FALSE,FALSE,Full Time - Instore,,,0,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,0,0,,,FALSE
1.1.02 FT - 38+ Hours Worked in Week - First 2 Hours - Instore Lvl 1 (15y),In Store x 1.5,,38,0,0,FALSE,0,FALSE,0,FALSE,0,0,0,0,0,0,14.58,1.5,0,0,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TH,9115,,FALSE,FALSE,Full Time - Driver,In Store,,6,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE,15,13,,,FALSE
